id,cost,latitude,longitude,name,description,photo_url,r1/name,r1/latitude,r1/longitude,r1/price_range,r1/user_rating,r1/photos_url,r1/cuisines,r1/has_online_delivery,r2/name,r2/latitude,r2/longitude,r2/price_range,r2/user_rating,r2/photos_url,r2/cuisines,r2/has_online_delivery,r3/name,r3/latitude,r3/longitude,r3/price_range,r3/user_rating,r3/photos_url,r3/cuisines,r3/has_online_delivery,r4/name,r4/latitude,r4/longitude,r4/price_range,r4/user_rating,r4/photos_url,r4/cuisines,r4/has_online_delivery
11,1095,45.6405414,-122.6204002,Vancouver,,,Dairy Queen,45.64002666,-122.6201148,2,2.8,https://www.zomato.com/vancouver-wa/dairy-queen-10-vancouver/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Fast Food, Ice Cream",0,Burger King,45.640762,-122.619225,1,0,https://www.zomato.com/vancouver-wa/burger-king-2-vancouver/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,,0,Subway,45.64146,-122.61942,2,0,https://www.zomato.com/vancouver-wa/subway-75-vancouver/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Fast Food,0,Thai Wok Kitchen,45.641496,-122.619053,2,3,https://www.zomato.com/vancouver-wa/thai-wok-kitchen-vancouver/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Thai,0
12,1450,47.7170204,-122.3009337,Seattle,,,Taco Time,47.71454722,-122.2983167,1,0,https://www.zomato.com/seattle/taco-time-11-seattle/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Mexican,0,Dick's Drive-In,47.71825833,-122.2967694,1,4,https://www.zomato.com/seattle/dicks-drive-in-lake-city/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Fast Food,0,Wendy's,47.71503858,-122.2973585,1,2.9,https://www.zomato.com/seattle/wendys-1-seattle/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Fast Food,0,Breakfast Club,47.71773611,-122.2960194,2,3.4,https://www.zomato.com/seattle/breakfast-club-seattle/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Cafe,0
13,2289,47.6264794,-122.2051488,Bellevue,,,KuKuRuZa Gourmet Popcorn,47.6294978,-122.2016616,1,3.2,https://www.zomato.com/bellevue-wa/kukuruza-gourmet-popcorn-bellevue/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Desserts,0,Domino's Pizza,47.62083476,-122.199677,2,3.3,https://www.zomato.com/bellevue-wa/dominos-pizza-1-bellevue/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Pizza, Fast Food",0,Tony Maroni's,47.6197899,-122.2027617,2,3.2,https://www.zomato.com/bellevue-wa/tony-maronis-1-bellevue/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Pizza,0,Facing East Taiwanese Restaurant,47.6197899,-122.2027617,1,4,https://www.zomato.com/bellevue-wa/facing-east-taiwanese-restaurant-bellevue/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Chinese, Taiwanese",0
14,1547.5,47.6614244,-122.2683743,Seattle,,,Sand Point Grill,47.66824444,-122.2768556,3,3.8,https://www.zomato.com/seattle/sand-point-grill-sand-point/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,American,0,Starbucks,47.664214,-122.283288,1,2.9,https://www.zomato.com/seattle/starbucks-laurelhurst/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Cafe,0,Metropolitan Market,47.668159,-122.2838189,2,3.6,https://www.zomato.com/seattle/metropolitan-market-sand-point/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"New American, Bakery",0,Marlai Thai Cuisine,47.66118889,-122.2874306,2,3.7,https://www.zomato.com/seattle/marlai-thai-cuisine-laurelhurst/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Thai,0
15,1767,47.5412021,-122.2675626,Seattle,,,Zest Fast Food,47.5387581,-122.2709993,1,3.3,https://www.zomato.com/seattle/zest-fast-food-rainier-valley/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Burger, Fast Food",0,Jackson's Catfish Corner,47.5379379,-122.27014,2,0,https://www.zomato.com/seattle/jacksons-catfish-corner-rainier-beach/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Fish and Chips, Burger, Soul Food, Southern, Cajun",0,Los Tinos Mexican Restaurant,47.536776,-122.269896,3,3.4,https://www.zomato.com/seattle/los-tinos-mexican-restaurant-rainier-valley/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Mexican,0,Los Potrillos,47.546259,-122.275768,1,0,https://www.zomato.com/seattle/los-potrillos-rainier-valley/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Mexican,0
16,1225,47.9088246,-122.268112,Paine Field-Lake Stickney,,,High Flying Espresso,47.89620556,-122.2636556,1,0,https://www.zomato.com/everett-wa/high-flying-espresso-everett/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Coffee and Tea,0,Pho 36,47.8994825,-122.2496642,1,0,https://www.zomato.com/everett-wa/pho-36-everett/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Vietnamese,0,Avocados,47.89950278,-122.249625,2,3.5,https://www.zomato.com/everett-wa/avocados-everett/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Tex-Mex,0,Razzals,47.89709444,-122.2526861,2,3.2,https://www.zomato.com/everett-wa/razzals-everett/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,American,0
17,1795,47.6338217,-122.3215448,Seattle,,,Grand Central Bakery,47.63457778,-122.3252556,1,3.5,https://www.zomato.com/seattle/grand-central-bakery-eastlake-lake-union/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Cafe, Sandwich, Bakery",0,Eastlake Specialty Market,47.63352222,-122.325875,1,3,https://www.zomato.com/seattle/eastlake-specialty-market-eastlake-lake-union/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Sandwich, Deli",0,Le Messe,47.635955,-122.3262,2,0,https://www.zomato.com/seattle/le-messe-eastlake-lake-union/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Italian,0,Serafina,47.63709,-122.32598,3,4.2,https://www.zomato.com/seattle/serafina-eastlake-lake-union/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Italian,0
18,1463.5,47.85839,-122.2709006,Lynnwood,,,The Vienna Coffee Company,47.85274444,-122.2604306,1,3.2,https://www.zomato.com/lynnwood-wa/the-vienna-coffee-company-lynnwood/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Cafe,0,Taco Bell,47.8632798,-122.2821961,1,3.2,https://www.zomato.com/lynnwood-wa/taco-bell-lynnwood/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Fast Food,0,Kami Teriyaki,47.852775,-122.2603306,2,3.3,https://www.zomato.com/lynnwood-wa/kami-teriyaki-lynnwood/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Teriyaki,0,Round Table Pizza,47.85333889,-122.2592556,1,0,https://www.zomato.com/lynnwood-wa/round-table-pizza-lynnwood/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Pizza, Italian",0
19,1944,47.6683603,-122.3769582,Seattle,,,Five Guys,47.66875,-122.37659,1,3,https://www.zomato.com/seattle/five-guys-ballard/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Fast Food,0,Jimmy John's,47.6688582,-122.3765765,1,0,https://www.zomato.com/seattle/jimmy-johns-ballard/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Sandwich, Fast Food",0,Wendy's,47.66774636,-122.3766738,1,3.1,https://www.zomato.com/seattle/wendys-ballard/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Fast Food,0,Subway,47.66749572,-122.3759155,1,3,https://www.zomato.com/seattle/subway-ballard/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Fast Food, Sandwich",0
20,1560,47.5105794,-122.1909906,Renton,,,Ivar's Seafood Bar,47.50690556,-122.2022389,1,3.5,https://www.zomato.com/renton-wa/ivars-seafood-bar-renton/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Fast Food, Seafood, Diner",0,Espresso Time,47.518632,-122.1971276,1,0,https://www.zomato.com/renton-wa/espresso-time-renton/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Coffee and Tea,0,Katie J's Bar & Grill,47.5015249,-122.1874157,2,0,https://www.zomato.com/renton-wa/katie-js-bar-grill-renton/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Bar Food,0,Vitmar Euro Food,47.5015249,-122.1874157,1,0,https://www.zomato.com/renton-wa/vitmar-euro-food-renton/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Eastern European, Deli",0
21,1395,47.6913332,-122.382432,Seattle,,,Pizza Hut,47.69161667,-122.3770056,1,3.2,https://www.zomato.com/seattle/pizza-hut-ballard/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Fast Food, Pizza",0,Bento Sushi,47.69091557,-122.3770201,2,3.6,https://www.zomato.com/seattle/bento-sushi-ballard/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Sushi,0,Wild Orchid,47.69171389,-122.376975,2,4.1,https://www.zomato.com/seattle/wild-orchid-ballard/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Thai,0,Taki's Mad Greek,47.69094,-122.37689,2,3.9,https://www.zomato.com/seattle/takis-mad-greek-ballard/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Greek,0
22,1325,47.4116866,-122.245159,Kent,,,Starbucks,47.412875,-122.2502528,1,0,https://www.zomato.com/kent-wa/starbucks-17-kent/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Cafe,0,Nikko Teriyaki,47.41283056,-122.2509917,3,0,https://www.zomato.com/kent-wa/nikko-teriyaki-kent/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Japanese,0,Saimin Says,47.41300833,-122.2512194,2,3.7,https://www.zomato.com/kent-wa/saimin-says-kent/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Diner, Hawaiian",0,Joe's Deli,47.41297222,-122.2515722,1,0,https://www.zomato.com/kent-wa/joes-deli-kent/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Sandwich, Deli",0
23,2514,47.6152474,-122.3497446,Seattle,,,Some Random Bar,47.61546389,-122.3501139,2,3.3,https://www.zomato.com/seattle/some-random-bar-belltown/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Bar Food, American",0,Thai On One,47.615175,-122.3492,1,0,https://www.zomato.com/seattle/thai-on-one-belltown/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Thai,0,Jerk Shack,47.615043,-122.349053,1,0,https://www.zomato.com/seattle/jerk-shack-downtown/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Caribbean,0,El Gaucho,47.61491389,-122.3491528,4,4,https://www.zomato.com/seattle/el-gaucho-belltown/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Steak, Seafood, Pacific Northwest",0
24,1785,47.5745802,-122.4047843,Seattle,,,Phoenecia,47.579009,-122.410112,2,3.9,https://www.zomato.com/seattle/phoenecia-west-seattle/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Pizza, Tapas",0,Thai Landing On Alki,47.580099,-122.407325,2,0,https://www.zomato.com/seattle/thai-landing-on-alki-west-seattle/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Thai,0,Homefront Smoothies & Espresso,47.580077,-122.407432,1,2.7,https://www.zomato.com/seattle/homefront-smoothies-espresso-west-seattle/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Beverages,0,El Chupacabra,47.580103,-122.407311,2,3.6,https://www.zomato.com/seattle/el-chupacabra-west-seattle/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Vegetarian, Mexican",0
25,1272.5,47.9990269,-122.1914014,Everett,,,Ray's Drive in,47.99874444,-122.2007833,1,3.6,https://www.zomato.com/everett-wa/rays-drive-in-everett/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Burger, American",0,Blue Moon Tavern,47.99906111,-122.2008889,2,3.2,https://www.zomato.com/everett-wa/blue-moon-everett/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Bar Food,0,Silver Cup Coffee,48.0027242,-122.2007354,1,0,https://www.zomato.com/everett-wa/silver-cup-coffee-2-everett/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Cafe,0,Diedrich Espresso,48.0027242,-122.2007354,1,0,https://www.zomato.com/everett-wa/diedrich-espresso-1-everett/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Cafe,0
26,1129,47.1616994,-122.5019796,Lakewood,,,Maresol Restaurant,47.1620501,-122.5050054,1,3.3,https://www.zomato.com/lakewood-wa/maresol-restaurant-lakewood/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Filipino,0,Maresol's,47.16204722,-122.5051194,1,3.5,https://www.zomato.com/lakewood-wa/maresols-lakewood/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Filipino,0,Bruno's European Restaurant,47.16,-122.5,1,0,https://www.zomato.com/lakewood-wa/brunos-european-restaurant-lakewood/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"German, Polish",0,Wendy's,47.1597649,-122.5041942,1,3.2,https://www.zomato.com/lakewood-wa/wendys-1-lakewood/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Fast Food,0
27,1823,47.4925009,-121.9516339,Issaquah,,,Rhodies BBQ,47.5260836,-121.9364647,2,3.6,https://www.zomato.com/issaquah-wa/rhodies-bbq-issaquah/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,BBQ,0,Corner Bakery Cafe,47.54,-122,1,0,https://www.zomato.com/issaquah-wa/corner-bakery-cafe-issaquah/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Cafe, Bakery, American",0,Ramen Bushi-Do,47.54,-122,1,0,https://www.zomato.com/issaquah-wa/ramen-bushi-do-issaquah/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Ramen,0,Zeeks Pizza,47.54496,-121.99567,2,3.8,https://www.zomato.com/issaquah-wa/zeeks-pizza-issaquah/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Pizza,0
28,1922,47.6384586,-122.3674079,Seattle,,,Macrina Bakery,47.63947778,-122.3657306,2,4.2,https://www.zomato.com/seattle/macrina-bakery-queen-anne-upper/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Cafe, Bakery",0,Targy's Tavern,47.63779444,-122.3651278,1,3.4,https://www.zomato.com/seattle/targys-tavern-queen-anne-upper/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Bar Food,0,Bustle Caffe,47.639525,-122.3649056,1,3.5,https://www.zomato.com/seattle/bustle-caffe-queen-anne-upper/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Cafe,0,Ken's Market Espresso,47.63970833,-122.3645083,1,3.2,https://www.zomato.com/seattle/kens-market-espresso-queen-anne-upper/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Coffee and Tea,0
29,1727,47.6105427,-122.142426,Bellevue,"Just north of downtown, a mix of high-rise condos and trendy dining and shopping spots, Belltown is a neighborhood where being bored isnít an option.",https://uploads.visitseattle.org/2015/03/Bellevue_Newcastle_creditBellevue-e1543891298676-300x200.jpg,Best Wok,47.6099,-122.14297,2,3.7,https://www.zomato.com/bellevue-wa/best-wok-bellevue/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Chinese,0,Little Caesars,47.6098126,-122.1420861,1,0,https://www.zomato.com/bellevue-wa/little-caesars-bellevue/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Fast Food, Pizza",0,Wingstop,47.6098418,-122.1416352,2,3.3,https://www.zomato.com/bellevue-wa/wingstop-bellevue/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,American,0,Menchie's,47.6096578,-122.1415502,1,0,https://www.zomato.com/bellevue-wa/menchies-bellevue/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Frozen Yogurt,0
